Monthly_Inhand_Salary,Delay_from_due_date,Outstanding_Debt,Credit_History_Age,Credit_Score_Encoded,Num_of_Loan_Types,Credit_Mix_Good,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes
3132.524166666666,15,125.25,303.0,2,4,0,1,0
5978.466666666667,49,3042.36,154.0,1,9,0,0,1
6449.373333333332,27,1746.9,121.0,0,7,0,0,1
6449.373333333332,27,1746.9,122.0,0,7,0,0,1
6449.373333333332,27,1746.9,123.0,0,7,0,0,1
6449.373333333332,27,1746.9,126.0,0,7,0,0,1
3651.896666666667,62,1936.79,229.0,0,3,0,0,1
3651.896666666667,62,1936.79,230.0,1,3,0,0,1
3651.896666666667,62,1936.79,231.0,1,3,0,0,1
3651.896666666667,62,1936.79,232.0,0,3,0,0,1
3651.896666666667,62,1936.79,233.0,1,3,0,0,1
3651.896666666667,67,1936.79,234.0,0,3,0,0,1
1459.1333333333332,54,4834.59,129.0,0,7,0,0,1
5936.78,20,1219.39,374.0,1,4,0,0,1
5936.78,15,1219.39,377.0,1,4,0,0,1
5936.78,20,1219.39,378.0,1,4,0,0,1
7255.538333333334,15,325.93,369.0,2,3,1,1,0
7255.538333333334,15,325.93,371.0,2,3,1,1,0
7255.538333333334,15,325.93,373.0,2,3,1,1,0
5197.508333333333,18,1037.45,158.0,1,7,0,0,1
5197.508333333333,18,1037.45,159.0,1,7,0,0,1
5197.508333333333,18,1037.45,160.0,1,7,0,0,1
5197.508333333333,18,1037.45,165.0,1,7,0,0,1
6552.77,48,2497.34,63.0,0,5,0,0,1
6424.022011446845,50,2497.34,66.0,1,5,0,0,0
6424.022011446845,50,2497.34,68.0,0,5,0,0,1
4295.4075,36,4795.13,35.0,1,6,0,0,1
4295.4075,43,4795.13,39.0,1,6,0,0,1
4295.4075,41,4795.13,41.0,1,6,0,0,0
4295.4075,41,4795.13,42.0,1,6,0,0,1
4824.555,59,2425.38,159.0,0,4,0,0,1
4824.555,57,2425.38,161.0,1,4,0,0,1
4824.555,57,2425.38,162.0,1,4,0,0,1
2721.5366666666664,19,580.31,294.0,1,4,0,1,0
2721.5366666666664,15,580.31,295.0,1,4,0,1,0
2721.5366666666664,16,580.31,296.0,1,4,0,1,0
3507.295,24,2497.48,197.0,0,6,0,0,1
3507.295,21,2497.48,199.0,0,6,0,0,1
3507.295,25,2497.48,200.0,0,6,0,0,1
3507.295,24,2497.48,201.0,0,6,0,0,1
11809.56,14,1045.11,279.0,2,2,1,1,0
10653.043107889978,15,1045.11,280.0,2,2,1,1,0
2651.8625,27,523.56,100.0,1,7,0,0,1
2651.8625,29,523.56,101.0,1,7,0,0,1
1584.78875,6,327.88,371.0,2,2,1,1,0
1584.78875,6,327.88,375.0,2,2,1,1,0
1584.78875,6,327.88,376.0,2,2,1,1,0
690.1116666666667,65,4984.82,54.0,1,5,0,0,0
690.1116666666667,61,4984.82,59.0,1,5,0,0,1
6300.581666666666,1,596.78,392.0,2,1,1,1,0
6300.581666666666,2,596.78,393.0,2,1,1,1,0
6300.581666666666,1,596.78,396.0,2,1,1,1,0
6300.581666666666,1,596.78,398.0,1,1,1,1,0
6300.581666666666,1,596.78,399.0,2,1,1,1,0
3580.4575,36,2174.16,146.0,1,6,0,0,1
3282.269196467356,36,2174.16,152.0,1,6,0,0,1
3282.269196467356,36,2174.16,153.0,1,6,0,0,1
10795.6325,9,137.15,319.0,2,4,1,1,0
10795.6325,9,137.15,325.0,2,4,1,1,0
1214.7783333333334,11,1093.87,208.0,1,1,0,1,0
1214.7783333333334,10,1093.87,209.0,0,1,0,0,0
1214.7783333333334,10,1093.87,212.0,1,1,0,1,0
3969.5975,41,3818.57,155.0,0,7,0,0,1
3969.5975,39,3818.57,156.0,0,7,0,0,0
3969.5975,47,3818.57,158.0,0,7,0,0,1
3969.5975,46,3818.57,162.0,0,7,0,0,1
1242.2783333333334,0,730.9,357.0,1,2,0,1,0
1242.2783333333334,2,730.9,359.0,1,2,0,1,0
1242.2783333333334,6,730.9,360.0,1,2,0,0,0
1242.2783333333334,7,730.9,362.0,1,2,0,1,0
8527.755,4,1374.56,309.0,1,1,1,1,0
8527.755,4,1374.56,310.0,2,1,1,1,0
8527.755,2,1374.56,313.0,2,1,1,1,0
8527.755,4,1374.56,314.0,2,1,1,1,0
2756.103333333333,16,852.81,394.0,1,4,0,1,0
2756.103333333333,13,852.81,395.0,1,4,0,1,0
2756.103333333333,21,852.81,396.0,1,4,0,1,0
2756.103333333333,16,852.81,398.0,1,4,0,0,0
2756.103333333333,20,852.81,399.0,1,4,0,1,0
2756.103333333333,16,852.81,400.0,1,4,0,1,0
11059.186666666665,12,668.14,315.0,1,2,0,0,1
10541.520749550598,9,668.14,319.0,2,2,0,0,1
3047.6766666666667,17,660.69,215.0,1,3,0,0,1
3047.6766666666667,17,660.69,216.0,2,3,0,0,1
3047.6766666666667,17,660.69,218.0,1,3,0,0,1
3047.6766666666667,17,660.69,220.0,1,3,0,0,1
1437.779166666667,60,3865.15,90.0,1,7,0,0,1
1437.779166666667,64,3865.15,91.0,1,7,0,0,1
1437.779166666667,60,3865.15,93.0,1,7,0,0,1
1437.779166666667,60,3865.15,94.0,1,7,0,0,1
5653.783333333333,26,1549.56,140.0,0,5,0,0,0
1548.2458333333334,1,343.84,340.0,1,4,1,1,0
1548.2458333333334,1,343.84,342.0,1,4,1,1,0
1548.2458333333334,1,343.84,344.0,1,4,1,1,0
1548.2458333333334,1,343.84,346.0,1,4,1,1,0
2518.839166666666,12,919.76,350.0,1,4,0,1,0
2518.839166666666,12,919.76,351.0,1,4,0,0,0
2518.839166666666,17,919.76,352.0,1,4,0,1,0
2518.839166666666,7,919.76,356.0,1,4,0,1,0
2606.105,22,635.59,368.0,1,1,0,0,1
2606.105,22,635.59,371.0,0,1,0,0,1
1086.7575,33,4845.24,161.0,0,8,0,0,0
1086.7575,35,4845.24,162.0,0,8,0,0,1
1086.7575,33,4845.24,163.0,1,8,0,0,1
1086.7575,33,4845.24,166.0,1,8,0,0,1
5068.38,26,3589.56,16.0,1,5,0,0,1
5068.38,23,3589.56,17.0,1,5,0,0,1
5068.38,22,3589.56,18.0,1,5,0,0,0
3454.528333333333,9,1194.28,397.0,2,2,1,1,0
3454.528333333333,13,1194.28,398.0,2,2,1,1,0
3454.528333333333,13,1194.28,400.0,2,2,1,1,0
3454.528333333333,13,1194.28,402.0,2,2,1,1,0
3454.528333333333,11,1194.28,404.0,2,2,1,1,0
11877.473333333332,3,404.51,316.0,1,4,0,0,1
8926.275,14,1113.06,345.0,1,4,0,0,1
8926.275,13,1113.06,346.0,1,4,0,0,1
8926.275,14,1113.06,352.0,2,4,0,0,1
1533.925,20,3598.39,57.0,1,5,0,0,1
1533.925,24,3598.39,59.0,0,5,0,0,1
1533.925,24,3598.39,60.0,0,5,0,0,1
1533.925,24,3598.39,63.0,0,5,0,0,1
1533.925,26,3598.39,64.0,0,5,0,0,1
6858.7275,12,585.05,382.0,2,1,1,1,0
6858.7275,12,585.05,383.0,2,1,1,1,0
6858.7275,12,585.05,384.0,2,1,1,1,0
9997.59251367481,26,1428.68,396.0,2,4,0,0,1
9997.59251367481,26,1428.68,398.0,2,4,0,0,1
9997.59251367481,29,1428.68,399.0,1,4,0,0,0
5235.0,16,1755.81,105.0,0,4,0,0,1
5235.0,16,1755.81,108.0,0,4,0,0,1
2582.813333333333,14,1237.46,291.0,1,1,0,1,0
2582.813333333333,16,1237.46,292.0,1,1,0,1,0
2582.813333333333,16,1237.46,293.0,1,1,0,0,0
4620.6425,51,2593.44,69.0,1,6,0,0,1
4620.6425,46,2593.44,70.0,1,6,0,0,0
4620.6425,46,2593.44,73.0,1,6,0,0,0
4620.6425,44,2593.44,75.0,0,6,0,0,1
2904.068333333333,34,1973.63,233.0,0,4,0,0,1
2904.068333333333,34,1973.63,234.0,0,4,0,0,1
2904.068333333333,34,1973.63,236.0,0,4,0,0,0
1904.9504166666663,13,339.11,197.0,1,3,1,1,0
1904.9504166666663,11,339.11,198.0,1,3,1,1,0
1904.9504166666663,13,339.11,202.0,0,3,1,1,0
1904.9504166666663,13,339.11,203.0,0,3,1,1,0
1213.2833333333333,23,330.17,259.0,0,1,1,1,0
1213.2833333333333,25,330.17,261.0,0,1,1,1,0
1728.0875,19,186.16,259.0,0,3,1,1,0
1728.0875,19,186.16,266.0,0,3,1,1,0
1851.335,9,399.92,243.0,1,3,1,0,0
1851.335,9,399.92,246.0,1,3,1,1,0
1851.335,9,399.92,247.0,2,3,1,0,0
1851.335,9,399.92,248.0,2,3,1,1,0
4704.92,31,1743.83,147.0,0,6,0,0,1
4704.92,31,1743.83,151.0,0,6,0,0,1
4704.92,29,1743.83,152.0,0,6,0,0,1
2430.718333333333,19,687.87,184.0,1,2,0,0,1
2430.718333333333,19,687.87,190.0,0,2,0,0,1
2430.718333333333,19,687.87,191.0,1,2,0,0,1
12353.633333333331,14,1250.67,243.0,1,2,1,1,0
12353.633333333331,9,1250.67,247.0,2,2,1,1,0
1683.101666666667,22,1859.45,150.0,1,4,0,0,1
1683.101666666667,17,1859.45,153.0,1,4,0,0,1
1683.101666666667,22,1859.45,154.0,1,4,0,0,1
1683.101666666667,22,1859.45,156.0,0,4,0,0,1
1662.6266666666668,15,3135.02,27.0,1,8,0,0,1
1662.6266666666668,15,3135.02,28.0,0,8,0,0,1
1662.6266666666668,15,3135.02,29.0,0,8,0,0,1
1662.6266666666668,15,3135.02,31.0,0,8,0,0,1
1662.6266666666668,14,3135.02,34.0,0,8,0,0,1
5163.1775,24,3947.24,58.0,0,8,0,0,1
5163.1775,26,3947.24,61.0,0,8,0,0,1
5163.1775,26,3947.24,63.0,0,8,0,0,1
4517.86,41,4428.64,18.0,0,9,0,0,1
4517.86,41,4428.64,20.0,0,9,0,0,1
4517.86,41,4428.64,21.0,0,9,0,0,1
4517.86,41,4428.64,22.0,0,9,0,0,1
4517.86,41,4428.64,24.0,0,9,0,0,1
1294.7516666666668,14,2103.99,184.0,0,5,0,0,1
1346.9350000000004,23,2226.37,195.0,1,2,0,0,1
1346.9350000000004,25,2226.37,198.0,2,2,0,0,0
1346.9350000000004,18,2226.37,199.0,2,2,0,0,1
5382.748333333334,26,89.62,371.0,1,2,0,0,1
5382.748333333334,29,89.62,372.0,1,2,0,0,0
5382.748333333334,29,89.62,374.0,1,2,0,0,1
5382.748333333334,29,89.62,375.0,1,2,0,0,1
5382.748333333334,29,89.62,376.0,1,2,0,0,1
758.9454166666666,22,1823.35,112.0,1,5,0,0,1
758.9454166666666,22,1823.35,113.0,1,5,0,0,0
758.9454166666666,22,1823.35,116.0,1,5,0,0,1
758.9454166666666,22,1823.35,117.0,1,5,0,0,1
2300.3683333333333,18,1073.94,325.0,1,2,0,0,1
2300.3683333333333,18,1073.94,326.0,1,2,0,0,1
2300.3683333333333,18,1073.94,331.0,1,2,0,0,1
11203.726666666667,11,89.68,332.0,2,2,1,1,0
11203.726666666667,14,89.68,333.0,2,2,1,1,0
11203.726666666667,14,89.68,334.0,2,2,1,1,0
11203.726666666667,11,89.68,336.0,1,2,1,1,0
11203.726666666667,14,89.68,338.0,2,2,1,1,0
11203.726666666667,14,89.68,339.0,2,2,1,1,0
11662.863333333333,27,1151.7,206.0,1,4,0,0,0
11662.863333333333,27,1151.7,207.0,1,4,0,1,0
11662.863333333333,27,1151.7,212.0,1,4,0,0,0
3006.2666666666664,14,869.99,223.0,2,4,1,1,0
3006.2666666666664,14,869.99,225.0,2,4,1,1,0
3006.2666666666664,14,869.99,227.0,1,4,1,1,0
3357.9625,19,1480.92,292.0,1,4,1,1,0
3357.9625,15,1480.92,293.0,1,4,1,1,0
3357.9625,15,1480.92,295.0,1,4,1,1,0
3357.9625,15,1480.92,297.0,1,4,1,0,0
3357.9625,15,1480.92,298.0,1,4,1,1,0
3357.971666666667,35,1950.62,96.0,0,3,0,0,1
3357.971666666667,30,1950.62,98.0,0,3,0,0,1
3357.971666666667,35,1950.62,101.0,1,3,0,0,1
873.1079166666667,17,2569.3,67.0,0,6,0,0,1
873.1079166666667,17,2569.3,68.0,0,6,0,0,1
822.5517437389348,15,2569.3,74.0,0,6,0,0,1
1497.7766666666666,23,2008.06,199.0,1,5,0,0,1
1497.7766666666666,23,2008.06,204.0,1,5,0,0,1
1497.7766666666666,23,2008.06,206.0,1,5,0,0,0
2316.795833333333,9,195.38,324.0,1,2,0,0,1
1127.1441666666667,23,1403.17,144.0,1,6,0,0,1
10693.556666666664,16,385.8,313.0,1,3,0,0,1
10693.556666666664,8,385.8,315.0,1,3,0,0,1
10693.556666666664,13,385.8,317.0,1,3,0,0,1
10693.556666666664,13,385.8,318.0,1,3,0,0,1
8643.776666666667,11,605.34,346.0,1,1,0,0,1
8643.776666666667,13,605.34,348.0,1,1,0,0,1
8643.776666666667,14,605.34,352.0,1,1,0,0,1
2847.000833333333,21,512.38,335.0,1,3,0,1,0
2847.000833333333,16,512.38,339.0,1,3,0,1,0
9810.93,15,140.26,377.0,1,4,0,1,0
9810.93,15,140.26,379.0,1,4,0,1,0
9810.93,15,140.26,382.0,1,4,0,1,0
6450.543333333334,38,3962.08,137.0,0,7,0,0,1
6450.543333333334,34,3962.08,138.0,0,7,0,0,1
6450.543333333334,38,3962.08,139.0,0,7,0,0,1
6450.543333333334,38,3962.08,140.0,0,7,0,0,0
6450.543333333334,38,3962.08,141.0,0,7,0,0,1
6450.543333333334,38,3962.08,142.0,0,7,0,0,1
1951.6033333333328,26,784.35,254.0,2,1,1,1,0
1951.6033333333328,26,784.35,256.0,2,1,1,1,0
1951.6033333333328,28,784.35,257.0,2,1,1,1,0
1951.6033333333328,29,784.35,260.0,2,1,1,1,0
1426.5095833333337,10,1054.86,273.0,1,2,0,0,1
1426.5095833333337,10,1054.86,274.0,1,2,0,0,1
1426.5095833333337,9,1054.86,276.0,1,2,0,0,1
1426.5095833333337,10,1054.86,277.0,1,2,0,0,0
1426.5095833333337,10,1054.86,278.0,1,2,0,0,1
1426.5095833333337,10,1054.86,279.0,1,2,0,0,1
6327.616666666666,52,4167.43,159.0,1,6,0,0,1
6327.616666666666,52,4167.43,163.0,1,6,0,0,1
6327.616666666666,52,4167.43,166.0,1,6,0,0,0
3133.171666666666,4,1374.23,192.0,2,3,1,1,0
3133.171666666666,4,1374.23,193.0,2,3,1,1,0
3133.171666666666,4,1374.23,194.0,2,3,1,1,0
2890.8416666666667,57,2362.68,216.0,1,6,0,0,1
2890.8416666666667,57,2362.68,220.0,0,6,0,0,1
2890.8416666666667,57,2362.68,222.0,0,6,0,0,1
7795.8775,6,1295.18,372.0,2,2,1,1,0
7795.8775,6,1295.18,376.0,1,2,1,1,0
7795.8775,6,1295.18,378.0,2,2,1,1,0
2595.8783333333336,25,1672.68,177.0,0,7,0,0,1
2595.8783333333336,25,1672.68,178.0,0,7,0,0,1
2595.8783333333336,25,1672.68,179.0,0,7,0,0,1
2595.8783333333336,25,1672.68,180.0,0,7,0,0,1
2258.7175,30,180.94,191.0,1,1,0,0,1
2258.7175,30,180.94,193.0,1,1,0,0,0
2258.7175,30,180.94,194.0,1,1,0,0,1
2258.7175,30,180.94,197.0,1,1,0,0,1
5190.618333333333,11,203.03,243.0,1,3,0,1,0
5190.618333333333,12,203.03,246.0,1,3,0,1,0
5190.618333333333,11,203.03,249.0,1,3,0,1,0
3490.3658333333333,9,257.81,268.0,1,4,1,0,0
3490.3658333333333,11,257.81,269.0,1,4,1,1,0
3490.3658333333333,6,257.81,270.0,1,4,1,1,0
3490.3658333333333,9,257.81,271.0,1,4,1,1,0
3490.3658333333333,9,257.81,272.0,1,4,1,0,0
3490.3658333333333,5,257.81,273.0,1,4,1,0,0
3490.3658333333333,9,257.81,274.0,1,4,1,1,0
3566.7608333333333,14,900.83,277.0,2,3,1,1,0
2717.026666666666,12,1166.47,219.0,1,3,0,0,1
2717.026666666666,12,1166.47,220.0,1,3,0,0,1
2717.026666666666,12,1166.47,222.0,1,3,0,0,1
2717.026666666666,8,1166.47,223.0,1,3,0,0,0
2717.026666666666,12,1166.47,224.0,1,3,0,0,1
1726.4458333333332,21,816.46,226.0,1,2,0,1,0
1726.4458333333332,21,816.46,227.0,1,2,0,1,0
1726.4458333333332,21,816.46,229.0,1,2,0,1,0
9910.9175,18,951.36,221.0,0,3,1,1,0
513.0187500000002,6,540.07,97.0,1,5,0,0,1
513.0187500000002,6,540.07,98.0,1,5,0,0,1
513.0187500000002,6,540.07,99.0,1,5,0,0,0
513.0187500000002,6,540.07,100.0,1,5,0,0,1
513.0187500000002,6,540.07,101.0,1,5,0,0,1
513.0187500000002,2,540.07,103.0,1,5,0,0,1
2930.1216666666664,61,4445.32,95.0,0,6,0,0,1
2930.1216666666664,58,4445.32,96.0,1,6,0,0,1
2930.1216666666664,61,4445.32,97.0,1,6,0,0,1
2930.1216666666664,61,4445.32,98.0,0,6,0,0,1
2930.1216666666664,61,4445.32,102.0,0,6,0,0,1
777.0870833333332,60,3035.88,108.0,1,6,0,0,1
777.0870833333332,63,3035.88,109.0,1,6,0,0,1
777.0870833333332,61,3035.88,110.0,2,6,0,0,1
777.0870833333332,61,3035.88,111.0,2,6,0,0,1
777.0870833333332,61,3035.88,113.0,2,6,0,0,0
1886.9558333333327,38,4404.48,68.0,1,9,0,0,1
1886.9558333333327,38,4404.48,71.0,1,9,0,0,1
1886.9558333333327,38,4404.48,75.0,1,9,0,0,1
5379.8966666666665,29,276.91,226.0,0,2,1,1,0
5379.8966666666665,29,276.91,227.0,0,2,1,1,0
5379.8966666666665,29,276.91,230.0,0,2,1,1,0
5379.8966666666665,29,276.91,231.0,0,2,1,1,0
850.06625,31,1701.58,67.0,0,6,0,0,1
850.06625,25,1701.58,69.0,0,6,0,0,1
850.06625,26,1701.58,70.0,0,6,0,0,1
5989.731666666668,5,877.06,300.0,0,2,1,0,0
5989.731666666668,5,877.06,304.0,0,2,1,1,0
5989.731666666668,5,877.06,305.0,0,2,1,1,0
1389.38,27,2686.18,234.0,0,3,0,0,1
1389.38,31,2686.18,236.0,0,3,0,0,1
5518.605,18,457.81,304.0,2,3,1,1,0
5518.605,14,457.81,305.0,2,3,1,0,0
5518.605,14,457.81,307.0,2,3,1,1,0
5518.605,17,457.81,308.0,2,3,1,1,0
5518.605,14,457.81,309.0,2,3,1,1,0
2733.583333333333,18,611.04,247.0,2,2,0,0,1
1089.4333333333334,23,1409.58,183.0,0,7,0,0,1
1089.4333333333334,23,1409.58,188.0,0,7,0,0,1
5591.406666666668,29,1635.19,93.0,1,4,0,0,0
5591.406666666668,31,1635.19,96.0,1,4,0,0,1
5591.406666666668,29,1635.19,98.0,1,4,0,0,1
5591.406666666668,31,1635.19,99.0,1,4,0,0,1
908.2704166666668,45,1684.06,222.0,1,8,0,0,0
908.2704166666668,50,1684.06,225.0,0,8,0,0,1
908.2704166666668,45,1684.06,227.0,0,8,0,0,1
7098.2266666666665,17,455.22,332.0,1,1,0,0,1
7098.2266666666665,14,455.22,333.0,1,1,0,0,1
7098.2266666666665,14,455.22,336.0,1,1,0,0,0
7098.2266666666665,14,455.22,337.0,1,1,0,0,1
7098.2266666666665,14,455.22,339.0,1,1,0,0,1
10221.305,13,923.85,383.0,1,4,1,1,0
10221.305,13,923.85,385.0,1,4,1,1,0
10221.305,13,923.85,386.0,2,4,1,1,0
